city,population,distance,county
Tolar,800,78,Hood
Trophy Club,"11,800",33,Denton
Union Valley,300,38,Hunt
University Park,"24,800",8,Dallas
Venus,"3,300",32,"Johnson, Ellis"
Watauga,"24,500",32,Tarrant
Waxahachie,"33,400",30,Ellis
Weatherford,"28,700",61,Parker
West Tawokoni,"1,600",49,Hunt
Westlake,"1,300",31,Tarrant
Weston,300,46,Collin
Westover Hills,700,38,Tarrant
Westworth Village,"2,700",39,Tarrant
White Settlement,"17,100",41,Tarrant
Willow Park,"4,900",53,Parker
Wilmer,"3,900",16,Dallas
Wolfe City,"1,400",68,Hunt
Wylie,"46,700",28,Collin
